"行政區域","綜合所得中位數","平均教育程度","有偶比例","女男比","扶老比","每戶平均用電度數","cluster"
"北投區八仙里",647,1.7584,0.290617426234343,1.0442,0.163657542224811,1052.76,4
"北投區大同里",649,1.7444,0.295213844054216,1.0227,0.171718658034138,1044.28,4
"北投區大屯里",570,1.1708,0.273164975255156,0.8857,0.229066265060241,1129.64,1
"北投區稻香里",629,1.6086,0.283910390604514,0.9881,0.173807483576121,888.2,4
"北投區東華里",688,1.938,0.300369736286851,1.129,0.184007269422989,990.55,7
"北投區豐年里",604,1.4208,0.287728096843281,1.0585,0.177648677572237,789.07,4
"北投區福興里",684,1.8538,0.31836435373134,1.1211,0.164967562557924,952.97,8
"北投區關渡里",641,1.5918,0.285868004065525,1.028,0.182191579873845,1042.76,4
"北投區湖山里",614,1.2784,0.262490649570885,0.9312,0.303963414634146,900.51,1
"北投區湖田里",589,1.0534,0.282682101183879,0.841,0.212862190812721,585.04,1
"北投區吉利里",721,1.9448,0.309791802032992,1.0738,0.177164726518897,846.23,8
"北投區吉慶里",724,1.9594,0.320269392311704,1.1227,0.177393785668992,945.68,8
"北投區建民里",692,1.9288,0.307462381510103,1.067,0.228795653486266,1014.65,7
"北投區開明里",678,1.8542,0.295892135398521,1.0886,0.195462478184991,765.34,7
"北投區立農里",670,1.8028,0.311010383935223,1.0648,0.140868263473054,929.19,8
"北投區立賢里",649,1.807,0.308964065541191,1.1177,0.160098522167488,998.66,8
"北投區林泉里",639,1.7524,0.273868683613369,1.0439,0.219582850521437,666.78,4
"北投區奇岩里",696,1.8496,0.290297913754084,1.0338,0.176342840596496,914.74,7
"北投區清江里",621,1.3756,0.259892933677936,0.9635,0.18774221329123,773.39,1
"北投區泉源里",584,1.263,0.243536283489899,0.9066,0.215333236532598,968.92,1
"北投區榮光里",683,1.75,0.317718356790089,1.1035,0.180356855810963,889.44,8
"北投區榮華里",848,2.4282,0.312580273073153,1.0986,0.201441008706094,1216.6,6
"北投區石牌里",681,1.9086,0.301750412710395,1.1039,0.183769479564834,1330.5,7
"北投區桃源里",609,1.6222,0.297410553873179,1.0354,0.137328862810841,752.51,8
"北投區溫泉里",661,1.834,0.291526624266495,1.1263,0.200117802974525,752.56,7
"北投區文化里",868,2.1392,0.325206225603063,1.0956,0.186050156739812,610.59,6
"北投區文林里",740,1.948,0.3050329324646,1.0631,0.220802645423117,1249.94,7
"北投區秀山里",592,1.4766,0.24904753193549,1.046,0.233203359328134,904.81,4
"北投區一德里",629,1.5696,0.301556253888662,1.0145,0.147684241188465,1002.23,4
"北投區永和里",813,2.2064,0.319042490948097,1.0912,0.177801236615895,1143.41,6
"北投區永明里",782,2.0972,0.332673047807817,1.1404,0.173556326917009,1025.49,6
"北投區永欣里",1059,2.7584,0.352874914108347,1.1249,0.196341463414634,959.76,2
"北投區裕民里",737,2.1126,0.320050132054926,1.0982,0.179646017699115,1143.19,6
"北投區長安里",631,1.66,0.286480511110854,1.1619,0.183925122567226,753.11,4
"北投區振華里",713,2.0386,0.295521727019714,1.1144,0.215191808039126,1044.02,7
"北投區智仁里",628,1.6536,0.276771783885443,1.0872,0.183096462050196,588.03,4
"北投區中和里",671,1.8774,0.276912185412786,1.082,0.227846200060078,1143.57,7
"北投區中心里",668,1.9296,0.296976664249916,1.173,0.192246261071584,696.07,7
"北投區中央里",692,1.7044,0.294294452615332,1.0698,0.166298423921049,1338.62,7
"北投區中庸里",622,1.5862,0.292118711127874,1.0648,0.204219162027542,601.26,4
"北投區洲美里",554,1.1356,0.31293607127383,0.9619,0.18836026331538,371.84,1
"北投區尊賢里",673,1.793,0.304241873773757,1.1177,0.189673997816253,922.46,7
"大安區昌隆里",828,2.6502,0.279373854371896,1.111,0.372905927835051,1261.97,3
"大安區車層里",860,2.7258,0.308075976560235,1.1654,0.305271828665569,1462.79,3
"大安區誠安里",745,2.452,0.304867064102458,1.1891,0.285386029411765,1241.38,6
"大安區大學里",929,2.9572,0.340371909122105,1.1381,0.278967151495342,955.23,3
"大安區德安里",838,2.7502,0.313401899852012,1.1729,0.282859463850528,1323.24,3
"大安區敦安里",975,2.7886,0.333740293157708,1.1913,0.275354969574037,1281.56,3
"大安區敦煌里",901,2.9156,0.326897722552331,1.1829,0.28334172118772,1189.09,3
"大安區法治里",781,2.4388,0.30653969088042,1.1482,0.241446872645064,1080.54,6
"大安區芳和里",714,2.0416,0.302828686062219,1.0812,0.242282788736636,962.09,7
"大安區福住里",1036,2.9762,0.341528473525289,1.1805,0.216090768437339,955.14,3
"大安區古風里",917,2.8324,0.327188730859601,1.1349,0.243054477727766,1047.74,3
"大安區古莊里",857,2.8412,0.336086844013202,1.1711,0.241613924050633,1082.79,3
"大安區光明里",1042,2.7824,0.367371855900116,1.0631,0.191333333333333,1150.07,2
"大安區光武里",793,2.5294,0.307180187200304,1.2068,0.274763406940063,1325.27,3
"大安區光信里",830,2.6076,0.31071552674539,1.158,0.237296260786194,1298.85,3
"大安區和安里",1008,2.7852,0.330777310112288,1.0547,0.228010825439784,1128.02,3
"大安區虎嘯里",818,2.7724,0.33206220673854,1.2207,0.253799392097264,1392.77,3
"大安區華聲里",832,2.5746,0.313766248358486,1.1436,0.255196674128558,1379.94,3
"大安區建安里",811,2.6968,0.314092385455902,1.2799,0.277449256832348,1520.08,3
"大安區建倫里",885,2.6898,0.305438527134852,1.2122,0.300911350455675,1704.48,3
"大安區錦安里",1022,2.9934,0.357774157809282,1.1411,0.224076281287247,1019.43,3
"大安區錦華里",1030,2.987,0.367164921552948,1.1243,0.197037776668331,857.92,2
"大安區錦泰里",893,2.9682,0.359275023918169,1.1035,0.247175624786032,720.33,3
"大安區黎和里",744,2.0932,0.290683839431947,1.0995,0.188228603923799,863.97,7
"大安區黎孝里",725,2.1868,0.297738570739107,1.0894,0.204855624191926,1028.35,7
"大安區黎元里",629,1.6768,0.268350400503928,1.0678,0.182368193604149,946.59,4
"大安區臨江里",641,1.774,0.297276091577379,1.1166,0.222105578884223,1082.41,7
"大安區龍安里",1033,2.6134,0.301021593968121,0.996,0.263166556945359,736.06,3
"大安區龍門里",1042,3.1306,0.340289750935681,1.1482,0.269217570350034,1083.48,3
"大安區龍坡里",1015,3.191,0.347137344794456,1.151,0.283310673011557,553.41,3
"大安區龍泉里",902,2.8504,0.345317431772095,1.165,0.215055493003056,995.14,3
"大安區龍生里",974,2.821,0.348502109111556,1.1386,0.218363939899833,868.27,3
"大安區龍圖里",879,2.718,0.322691755059176,1.1317,0.249491949351258,1000.28,3
"大安區龍淵里",949,2.9006,0.34965616141725,1.1066,0.217608545830462,818.04,3
"大安區龍雲里",866,2.5464,0.306399103811895,1.177,0.274622116149563,1229.28,3
"大安區龍陣里",931,2.6176,0.331892163114822,1.0934,0.278532396565183,1060.05,3
"大安區民輝里",921,2.6346,0.303403350854068,1.111,0.288937637104356,1474.6,3
"大安區民炤里",969,2.939,0.3301174603987,1.1603,0.298356300846754,1394.49,3
"大安區全安里",889,2.7846,0.318834328961165,1.1436,0.273781902552204,1368.22,3
"大安區群賢里",826,2.73,0.311742814754215,1.208,0.264965197215777,1297.26,3
"大安區群英里",820,2.7284,0.306089463562245,1.1441,0.212902264600715,855.89,6
"大安區仁愛里",946,2.7394,0.308540507881222,1.2311,0.330739943717928,1993.65,3
"大安區仁慈里",993,2.9108,0.339143870944198,1.1128,0.219313158789527,1319.24,3
"大安區通安里",698,2.1134,0.302819641461544,1.1155,0.226021180030257,1071.56,7
"大安區通化里",653,1.9554,0.292673978314723,1.0982,0.21088536259825,1131.3,7
"大安區臥龍里",817,2.6032,0.327294755523959,1.1522,0.297026449811073,1284.14,3
"大安區新龍里",896,2.8482,0.339595101855526,1.125,0.213067267460573,762.4,3
"大安區學府里",745,2.0932,0.271167566189743,0.9264,0.400445510623715,804.02,7
"大安區義安里",942,2.7876,0.310886331005964,1.1963,0.275284450063211,1416.42,3
"大安區義村里",747,2.4662,0.308342870450024,1.0986,0.287731551776495,950.26,6
"大安區永康里",900,2.6734,0.350521696472784,1.1131,0.230091438071488,1324.64,3
"大安區正聲里",823,2.7246,0.31024233400803,1.1427,0.260625501202887,1448,3
"大安區住安里",752,2.189,0.292830638327409,1.1381,0.263116556707509,1155.11,6
"大同區保安里",613,1.5898,0.286749254958959,1.0375,0.251727845185071,855.45,4
"大同區朝陽里",642,1.7812,0.307937149281963,1.0947,0.206321075173534,955.76,7
"大同區大有里",606,1.6194,0.294368946270073,1.0475,0.212954476015888,1240.31,4
"大同區光能里",618,1.599,0.303692905733722,1.0555,0.207334273624824,769.48,4
"大同區國慶里",690,1.8666,0.30925189871807,1.0977,0.178933642422486,1018.14,7
"大同區國順里",528,1.1154,0.227646162112182,0.9126,0.206931702344547,873.38,1
"大同區建功里",619,1.5802,0.300390693232221,1.0734,0.21321546299071,1038.41,4
"大同區建明里",595,1.873,0.301968775686324,1.0515,0.21879654453381,1807.98,7
"大同區建泰里",680,1.9056,0.318807069172535,1.0708,0.203874538745388,1431.28,7
"大同區景星里",568,1.2454,0.241685287512757,0.9879,0.235830716315238,946.27,1
"大同區老師里",600,1.4056,0.275818691742968,1.0044,0.206809018963715,712.62,4
"大同區鄰江里",576,1.4526,0.272984933977754,0.9916,0.222825289716884,763.72,1
"大同區隆和里",609,1.5522,0.280636471112662,1.0517,0.248702218027371,1148.17,4
"大同區民權里",720,1.8296,0.305073347348275,1.0916,0.163611153905408,878.53,8
"大同區南芳里",621,1.6344,0.287468467652157,1.1249,0.217960710944808,1095.27,4
"大同區蓬萊里",634,1.6552,0.292345704385447,1.0534,0.203173204054649,1109.93,4
"大同區雙連里",635,1.5324,0.291689365283178,1.0536,0.185080708352923,831.31,4
"大同區斯文里",584,1.4384,0.277818243698811,1.0178,0.199797746316094,1043.38,4
"大同區星明里",688,1.8342,0.320299849747463,1.0964,0.16178247734139,996.96,8
"大同區延平里",602,1.5914,0.270998188199757,1.0689,0.200321919812701,1092.86,4
"大同區揚雅里",588,1.229,0.25956986418498,0.8505,0.23406374501992,674.7,1
"大同區永樂里",658,1.8786,0.320158798764187,1.006,0.225034514496088,1102.08,7
"大同區玉泉里",668,1.8304,0.322538556089238,1.0127,0.229591836734694,1122.5,7
"大同區至聖里",619,1.6846,0.284259845410483,1.1039,0.218930528810547,1018.56,4
"大同區重慶里",689,1.8502,0.30108662876954,1.0916,0.182079177999396,796.58,7
"南港區百福里",615,1.586,0.289163872595858,1.061,0.16553024807776,743.08,4
"南港區成福里",660,1.7746,0.287267019510995,1.0668,0.169547680783636,784.06,4
"南港區東明里",753,2.1162,0.32370395950732,1.0305,0.1789802289282,851.31,8
"南港區東新里",643,1.5364,0.293265950283858,1.0383,0.16019489148088,713.6,4
"南港區合成里",685,1.776,0.305528609395143,1.058,0.193425858290723,845.5,7
"南港區鴻福里",692,1.881,0.29287202017868,1.1101,0.179509505151647,847.05,7
"南港區九如里",635,1.6604,0.288375687314706,1.0208,0.194557209442189,805.91,4
"南港區舊莊里",603,1.3992,0.282551564036577,1.0276,0.159698626089526,683.44,4
"南港區聯成里",653,1.739,0.295046019396586,1.073,0.202067106051528,819.79,7
"南港區南港里",635,1.5914,0.289967873158952,0.9524,0.174054373522459,1256.26,4
"南港區仁福里",689,1.7854,0.291821196545174,1.0169,0.157159487776484,703.74,8
"南港區三重里",828,2.346,0.375720692501069,1.0644,0.12187725631769,846.3,2
"南港區萬福里",671,1.9204,0.297020234107514,1.1071,0.200991831971995,919.93,7
"南港區西新里",586,1.5518,0.29096677563335,1.0194,0.164263416084436,749.64,4
"南港區新富里",635,1.5936,0.29122618705874,1.0247,0.189430648092065,790.62,4
"南港區新光里",617,1.7394,0.2836348248021,1.1133,0.189945771654697,965.23,4
"南港區玉成里",671,1.593,0.293653717475686,1.0551,0.174577516531962,818.02,4
"南港區中南里",573,1.321,0.288626008862038,1.0202,0.168821627975316,657.15,4
"南港區中研里",704,2.1096,0.303050077366252,1.0568,0.167352336173964,679.94,8
"南港區重陽里",1146,2.4846,0.372606955712001,1.0877,0.106908134949613,927.75,2
"內湖區安湖里",762,1.9298,0.32309641422604,1.0918,0.100435370064555,831.74,8
"內湖區安泰里",642,1.6468,0.304756575354658,1.0721,0.104784892801363,728.25,8
"內湖區寶湖里",1183,2.724,0.375948643744382,1.0771,0.109893321642554,1498.73,2
"內湖區碧山里",699,1.8584,0.295506985833589,1.0549,0.137331032499281,873.45,8
"內湖區大湖里",945,2.4098,0.320236811061203,1.1286,0.126438414547521,1241.3,2
"內湖區東湖里",663,1.649,0.310191935215683,1.0768,0.0925472106097737,775.52,8
"內湖區港都里",711,2.1134,0.319931119884607,1.1142,0.133847751891972,968.07,8
"內湖區港富里",708,1.979,0.306181459778086,1.0892,0.150719477822281,919.45,8
"內湖區港華里",714,2.1258,0.308358185825826,1.096,0.116367352898233,866.83,8
"內湖區港墘里",775,2.1424,0.328608298988444,1.116,0.136022375975269,1245.94,8
"內湖區湖濱里",842,2.3276,0.322420256889337,1.1133,0.171327642037092,993.97,6
"內湖區湖興里",762,1.8562,0.284140400885789,0.9827,0.136006614303431,698.14,8
"內湖區湖元里",718,2.073,0.306790651052004,1.0636,0.127298050139276,2038.26,8
"內湖區葫洲里",992,2.3178,0.359129933282856,1.1084,0.106022187004754,1006.12,2
"內湖區金湖里",1273,2.6272,0.385949223507918,1.1529,0.11794627245271,1408.66,2
"內湖區金龍里",671,1.8296,0.287598263194525,1.0222,0.152167792792793,948.34,8
"內湖區金瑞里",689,1.9334,0.30380645875355,1.1148,0.132091690544413,725.38,8
"內湖區康寧里",841,2.0704,0.322986679241158,1.0912,0.115249042145594,1144.72,8
"內湖區樂康里",677,1.7222,0.308011270474621,1.1004,0.0884587813620072,733.93,8
"內湖區麗山里",726,2.0144,0.309798090075167,1.0803,0.130486008836524,1092.17,8
"內湖區蘆洲里",564,1.0676,0.288855332097833,0.8668,0.130275498241501,875.9,1
"內湖區明湖里",730,1.8956,0.332865236203994,1.1053,0.0894847845736667,900.25,8
"內湖區南湖里",1114,2.4952,0.387566108908484,1.1566,0.1010279473177,811.66,2
"內湖區內溝里",721,1.808,0.303064308816309,1.028,0.115515771526002,721.34,8
"內湖區內湖里",748,2.0864,0.306379911089751,1.1768,0.150715689026102,820.12,8
"內湖區清白里",927,2.454,0.334476734251696,1.1822,0.121229368241321,1089.22,2
"內湖區瑞光里",727,2.0594,0.292341610044647,1.1263,0.14919972164231,799.28,8
"內湖區瑞陽里",773,2.1178,0.313288348651341,1.1028,0.208033573141487,820.09,6
"內湖區石潭里",795,2.0868,0.344528791524683,1.1028,0.154240182128628,1223.18,8
"內湖區五分里",691,1.586,0.327095153012194,1.0788,0.105213862004371,742.07,8
"內湖區西安里",732,2.214,0.303982959191107,1.0864,0.132754342431762,890.17,8
"內湖區西湖里",677,1.941,0.283070923941317,1.0743,0.144218814753419,1254.91,8
"內湖區西康里",792,2.2392,0.310311925139516,1.0982,0.146331118337339,1175.31,8
"內湖區行善里",638,1.5662,0.310126938666158,1.0036,0.14736399326977,785.72,8
"內湖區秀湖里",883,2.3518,0.325688206899324,1.064,0.169592340055128,947.19,6
"內湖區週美里",717,1.865,0.333266836576374,1.07,0.152812762384551,924.13,8
"內湖區紫星里",690,1.9562,0.28795545476899,1.0721,0.141564135200113,918.54,8
"內湖區紫陽里",786,2.2456,0.31175330468758,1.0827,0.123661148977605,879.4,8
"內湖區紫雲里",712,1.8484,0.295067680089399,1.0429,0.181543573478326,841.23,7
"士林區百齡里",643,1.6736,0.273495909657972,1.0294,0.166666666666667,792.27,4
"士林區承德里",730,1.9966,0.305756002492687,1.1395,0.200620475698035,1170.79,7
"士林區翠山里",803,2.5488,0.306108710507531,1.0921,0.323325635103926,633.29,3
"士林區德華里",684,1.975,0.289705905926231,1.1441,0.207986935866983,1123.39,7
"士林區德行里",672,1.9472,0.299096664039632,1.1363,0.206625074272133,1161.68,7
"士林區東山里",778,1.9908,0.276775483642131,1.0496,0.189787618617262,1322.09,7
"士林區福安里",534,0.9306,0.267895678213094,0.8705,0.177910534751566,659.74,1
"士林區福德里",735,1.7512,0.268082298783848,0.899,0.232640424590889,900.18,4
"士林區福華里",595,1.32,0.254973693212049,1.0824,0.188826650943396,729.46,4
"士林區福佳里",704,2.0236,0.302017439946048,1.0792,0.226882894121316,1061.83,7
"士林區福林里",678,1.9532,0.288227613117931,1.0894,0.260761845772685,1176.44,7
"士林區福順里",595,1.397,0.273490484588465,1.0028,0.197297297297297,822.74,4
"士林區福志里",748,2.3174,0.302712624732968,1.1106,0.243998784563962,997.85,6
"士林區福中里",661,1.648,0.291978109983983,1.0831,0.152980033028074,878.58,8
"士林區富光里",586,1.2384,0.247082243490727,1.0309,0.183779761904762,780.13,1
"士林區富洲里",547,1.0562,0.300515604200805,0.8822,0.172670097198399,610.39,1
"士林區公館里",668,1.1454,0.288859118769756,0.9432,0.250224618149147,1013.2,1
"士林區後港里",655,1.7056,0.286030736049784,1.03,0.178295702840495,942.8,4
"士林區葫東里",592,1.4964,0.273059877949708,1.0454,0.178555734583272,822.98,4
"士林區葫蘆里",621,1.463,0.267764451560562,1.0648,0.18906297077433,766.19,4
"士林區菁山里",638,1.1174,0.274597675177626,0.8481,0.216979736725336,968.44,1
"士林區舊佳里",644,1.9762,0.297384908395088,1.0964,0.242983526540574,922.89,7
"士林區蘭興里",832,2.2738,0.301472806416897,1.1157,0.177274731735999,1327.64,6
"士林區蘭雅里",757,2.223,0.295644100249464,1.1236,0.186887165227572,1302.78,6
"士林區臨溪里",828,2.086,0.304455762306937,1.0204,0.280837505689577,1628.82,6
"士林區名山里",790,2.1982,0.291632087904407,1.1668,0.199760944270133,1098.62,6
"士林區明勝里",650,1.8362,0.282028243107305,1.0602,0.213456385829116,888.62,7
"士林區平等里",598,1.0208,0.28267912407582,0.952,0.238868832731649,793.39,1
"士林區前港里",696,1.6886,0.301748545007898,1.0877,0.156207877789426,896.41,8
"士林區仁勇里",629,1.5936,0.294971816173683,1.0585,0.231847535044889,1231.99,4
"士林區三玉里",778,2.2762,0.291267302836009,1.139,0.178904428904429,1436.32,6
"士林區社新里",575,1.295,0.279334295645007,1.0016,0.170695970695971,738.11,4
"士林區社園里",571,1.3158,0.274103329114257,1.0105,0.163939303778637,775.11,4
"士林區社子里",601,1.3456,0.271974907849805,1.0471,0.177321718588513,788.92,4
"士林區聖山里",796,2.2622,0.307173556102839,1.0794,0.207177322074789,1147.46,6
"士林區天福里",745,2.2246,0.298029750301806,1.1386,0.176238225463385,1372.82,6
"士林區天和里",824,2.4458,0.305988266556155,1.1008,0.171647394503679,1216.96,6
"士林區天祿里",734,2.3022,0.304377247175893,1.1501,0.203233605318827,1467,6
"士林區天母里",839,2.403,0.305989258279185,1.1186,0.206949569495695,1702.37,6
"士林區天山里",790,2.4652,0.313138663462415,1.1386,0.209220401286568,1386.8,6
"士林區天壽里",860,2.438,0.32586505961279,1.1515,0.203512555846557,1703.07,6
"士林區天玉里",845,2.467,0.322041926678534,1.1603,0.197191887675507,1418.98,6
"士林區溪山里",580,0.8612,0.275571959586613,0.9209,0.259596419359733,966.92,1
"士林區新安里",682,1.6672,0.278935731838375,1,0.305322128851541,1211.9,7
"士林區岩山里",689,2.0898,0.270749367808531,1.124,0.180017226528854,1182.57,7
"士林區陽明里",802,1.9048,0.309709768187376,1.076,0.307600239377618,1807.32,6
"士林區義信里",683,1.71,0.307751392255259,1.0492,0.210485376477909,1288.77,7
"士林區永福里",767,1.6896,0.263961106659597,1.003,0.331345157746037,2400.48,7
